2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=1 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=2 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=3 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=4 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=5 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=6 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=7 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=8 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=9 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=10 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=11 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=12 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=13 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=14 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=15 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=16 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=17 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=18 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=19 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=20 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=21 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=22 | status=OPEN
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=23 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=24 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=25 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=26 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=27 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=28 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=29 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=30 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=31 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=32 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=33 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=34 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=35 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=36 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=37 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=38 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=39 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=40 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=41 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=42 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=43 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=44 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=45 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=46 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=47 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=48 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=49 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=50 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=51 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=52 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=53 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=54 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=55 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=56 | status=CLOSED
2026-04-19 16:49:49 | PORT_SCAN | target=192.168.2.100 | port=57 | status=CLOSED
